Dataset,Fold,Accuracy,F1,Best_N_Estimators,Best_Max_Depth,Best_Min_Samples_Split,Parameters,Fold_Time_Seconds
dataset_9,1,0.9916,0.9623,200,,5,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",30.97
dataset_9,2,0.9892,0.904,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",29.05
dataset_9,3,0.9916,0.9248,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",29.66
dataset_9,4,0.9868,0.9336,200,10.0,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",26.97
dataset_9,5,0.9916,0.9299,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",28.45
dataset_9,6,0.988,0.9197,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",27.9
dataset_9,7,0.9928,0.9548,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.91
dataset_9,8,0.9928,0.9602,200,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",27.34
dataset_9,9,0.9856,0.8921,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",25.2
dataset_9,10,0.9904,0.8703,100,,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",26.26
