Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std,Accuracy Mean ± Std,F1 Mean ± Std,Total_Time_Seconds
dataset_1,0.9812,0.006,0.8759,0.1315,0.9812 ± 0.0060,0.8759 ± 0.1315,164.37
dataset_2,0.9453,0.0064,0.485,0.0311,0.9453 ± 0.0064,0.4850 ± 0.0311,232.31
dataset_3,0.8843,0.0093,0.5449,0.0336,0.8843 ± 0.0093,0.5449 ± 0.0336,290.95
dataset_4,0.8624,0.0067,0.4324,0.0334,0.8624 ± 0.0067,0.4324 ± 0.0334,311.32
dataset_5,0.9803,0.0077,0.9711,0.0152,0.9803 ± 0.0077,0.9711 ± 0.0152,98.48
dataset_6,0.9803,0.0077,0.9711,0.0152,0.9803 ± 0.0077,0.9711 ± 0.0152,72.02
dataset_7,0.9796,0.0041,0.9247,0.1095,0.9796 ± 0.0041,0.9247 ± 0.1095,81.98
dataset_8,0.9796,0.0041,0.9247,0.1095,0.9796 ± 0.0041,0.9247 ± 0.1095,80.82
dataset_9,0.9582,0.0106,0.8329,0.044,0.9582 ± 0.0106,0.8329 ± 0.0440,311.15
dataset_10,0.9075,0.0056,0.4568,0.0121,0.9075 ± 0.0056,0.4569 ± 0.0121,354.68
dataset_11,0.8229,0.0178,0.1927,0.0154,0.8229 ± 0.0178,0.1927 ± 0.0154,353.33
dataset_12,0.7871,0.0094,0.0994,0.0081,0.7871 ± 0.0094,0.0994 ± 0.0081,401.33
dataset_13,0.9598,0.0098,0.8432,0.0381,0.9598 ± 0.0098,0.8432 ± 0.0381,169.96
dataset_14,0.9598,0.0098,0.8432,0.0381,0.9598 ± 0.0098,0.8432 ± 0.0381,185.35
dataset_15,0.9585,0.0079,0.8223,0.0252,0.9585 ± 0.0079,0.8223 ± 0.0252,130.04
dataset_16,0.9585,0.0079,0.8223,0.0252,0.9585 ± 0.0079,0.8223 ± 0.0252,152.43
